id_course,ville,depart,arrivee,duree_estimee,distance,prix_eco,prix_confort,prix_confort_plus,heure_plage,disponibilite_vehicules,heure_plage_imputed,heure_num,is_pointe,is_nuit,dispo_ordinal,ville_encoded,vitesse_kmh,log_distance,log_duree,log_prix_eco
4137,Yaounde,Ekié Carrefour Six Morts,Buca Voyage,3.0,2.852,850.0,1150.0,1500.0,20h–21h,vert,0,20,0,0,0,1,57.03999999999999,1.348592493935879,1.3862943611198906,6.7464121285733745
4138,Yaounde,Hôpital de la Casse,Marché d'Etoudi,24.0,8.058,1650.0,1800.0,2850.0,21h–22h,vert,0,21,0,0,0,1,20.145,2.203648345134022,3.2188758248682006,7.409136443920128
4139,Yaounde,Playce carrefour,El Dorado de Nkomo,30.0,2.794,1650.0,2400.0,3050.0,14h–15h,vert,0,14,0,0,0,1,5.588,1.3334208715128224,3.4339872044851463,7.409136443920128
4140,Yaounde,Gare Voyageur Camrail,Maetur Mimboman,19.0,7.51,2600.0,,2900.0,14h–15h,jaune,0,14,0,0,1,1,23.71578947368421,2.1412419425852827,2.995732273553991,7.8636512654486515
4141,Yaounde,Hôtel du Plateau,Mimboman Terminus,8.0,1.439,850.0,1000.0,1150.0,13h–14h,vert,0,13,0,0,0,1,10.7925,0.8915881192337832,2.1972245773362196,6.7464121285733745
4142,Yaounde,Hôpital de la Casse,Cite Verte,20.0,4.75,1950.0,,2500.0,20h–21h,vert,0,20,0,0,0,1,14.25,1.749199854809259,3.044522437723423,7.576097340623111
4143,Yaounde,Total,Fokou Melen,4.0,3.761,550.0,700.0,,18h–19h,vert,0,18,1,0,0,1,56.415,1.5604577302123817,1.6094379124341003,6.311734809152915
4144,Yaounde,Rue 4.523,La Vie Continue,24.0,11.158,2300.0,3100.0,3700.0,13h–14h,vert,0,13,0,0,0,1,27.894999999999996,2.4979873893265307,3.2188758248682006,7.741099090035366
4145,Yaounde,Carrefour Bastos,Le Paradis,20.0,6.94,1300.0,1900.0,2450.0,12h–13h,vert,0,12,0,0,0,1,20.820000000000004,2.0719132752590443,3.044522437723423,7.170888478512505
4146,Yaounde,Carrefour Meec,Lycee de Ngoa Ekelle,10.0,6.216,750.0,950.0,1200.0,01h–02h,vert,0,1,0,1,0,1,37.29600000000001,1.9763007827603225,2.3978952727983707,6.621405651764134
4147,Yaounde,Marché Mokolo,College Elohim,7.0,2.899,450.0,600.0,750.0,09h–10h,vert,0,9,1,0,0,1,24.84857142857143,1.3607201100004602,2.0794415416798357,6.111467339502679
4148,Yaounde,Lycee de Biyemassi,Afriland First,6.0,4.895,1000.0,1150.0,1300.0,13h–14h,vert,0,13,0,0,0,1,48.949999999999996,1.7741045339893342,1.9459101490553132,6.90875477931522
4150,Yaounde,La Regionale,Palais de Justice,12.0,1.674,850.0,1000.0,,17h–18h,jaune,0,17,1,0,1,1,8.37,0.9835754786797514,2.5649493574615367,6.7464121285733745
4151,Yaounde,Santa Lucia Mvan,La Falaise Yaounde,13.0,6.577,1450.0,1600.0,2100.0,20h–21h,jaune,0,20,0,0,1,1,30.355384615384615,2.0251173429492364,2.6390573296152584,7.280008252884188
4152,Yaounde,Neptune Oil,Terminus Odza,6.0,11.014,600.0,850.0,1050.0,16h–17h,vert,0,16,0,0,0,1,110.13999999999999,2.4860726364279695,1.9459101490553132,6.398594934535208
4153,Yaounde,Ambassade de Chine au Cameroun,Biteng,42.0,10.252,2900.0,3050.0,4050.0,17h–18h,jaune,0,17,1,0,1,1,14.645714285714288,2.4205458906276105,3.7612001156935624,7.972810784121404
4154,Yaounde,Fecafoot,Ecole Publique d'Efoulan,20.0,11.098,1400.0,2000.0,2600.0,18h–19h,vert,0,18,1,0,0,1,33.294000000000004,2.4930401496847225,3.044522437723423,7.244941546337007
4155,Yaounde,Ministere De La Fonction Publique,Présidence de la République du Cameroun,5.0,7.236,1700.0,2400.0,,08h–09h,jaune,0,8,1,0,1,1,86.83200000000001,2.108514789165543,1.791759469228055,7.438971592395862
4156,Yaounde,Ministere des Finances,Centre Linguistique Pilote,3.0,1.151,600.0,700.0,800.0,22h–23h,vert,0,22,0,1,0,1,23.02,0.765932850285593,1.3862943611198906,6.398594934535208
4157,Yaounde,Nkolmesseng Petit Paris,Ministere de la Communication,26.0,8.585,1350.0,,,13h–14h,jaune,0,13,0,0,1,1,19.81153846153846,2.260199376497608,3.295836866004329,7.208600337960199
